mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
66.54393178224564,7.571415872692441,20.43964844942093,1.5561861807657476,euclidean,38,uniform,"{'metric': 'euclidean', 'n_neighbors': 38, 'weights': 'uniform'}",0.8589329543986565,0.8608696900320805,0.857101846602123,0.8415639779814407,0.854617117253575,0.007653094821812998,11
61.989414155483246,13.553959375768816,22.886042833328247,3.498146685965037,euclidean,38,distance,"{'metric': 'euclidean', 'n_neighbors': 38, 'weights': 'distance'}",0.8600597109187731,0.8621328146866949,0.8571449076698938,0.8256887976632193,0.8512565577346454,0.014867510646542102,21
59.50879627466202,8.518029690332737,24.850945472717285,0.8249893892472442,euclidean,40,uniform,"{'metric': 'euclidean', 'n_neighbors': 40, 'weights': 'uniform'}",0.861774964474874,0.8592118389228992,0.8569008949525252,0.8438605682625577,0.855437066653214,0.006902462654091628,7
53.41891258955002,12.050034125110962,25.430645883083344,1.2859748288340154,euclidean,40,distance,"{'metric': 'euclidean', 'n_neighbors': 40, 'weights': 'distance'}",0.8631026712023999,0.8605467320237984,0.8570659623789805,0.8256313829061914,0.8515866871278426,0.015137705971011562,13
50.498961448669434,12.837291106530067,25.991868793964386,2.0734283988602167,euclidean,42,uniform,"{'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'uniform'}",0.8616098982330735,0.8609916963907648,0.8570516086897235,0.8406812260921364,0.8550836073514245,0.008497052488570805,9
54.80299860239029,11.06106803702117,25.883120894432068,1.5409403370724357,euclidean,42,distance,"{'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'distance'}",0.8630954944092781,0.8624055347825775,0.8570013707773241,0.8226099313175969,0.851278082821694,0.016718928938908334,19
50.62618666887283,11.401551271586943,25.78726875782013,1.8036956736551835,euclidean,44,uniform,"{'metric': 'euclidean', 'n_neighbors': 44, 'weights': 'uniform'}",0.861925677130431,0.8611137027494492,0.8568721875740112,0.8434084270509628,0.8558299986262136,0.007423887524246753,4
52.41302490234375,11.211558632833915,26.91207206249237,2.2387350934080406,euclidean,44,distance,"{'metric': 'euclidean', 'n_neighbors': 44, 'weights': 'distance'}",0.8634040965135139,0.8625418948305188,0.8569008949525252,0.8230333651506778,0.8514700628618089,0.016606823418817755,16
51.864449858665466,14.474799922235308,24.267650485038757,1.9636090099291998,manhattan,38,uniform,"{'metric': 'manhattan', 'n_neighbors': 38, 'weights': 'uniform'}",0.8590836670542135,0.8610993490601921,0.8571520845145223,0.8463868175717864,0.8559304795501785,0.00568404798743528,2
52.8730651140213,12.960239067247505,26.30025601387024,2.5824278191635277,manhattan,38,distance,"{'metric': 'manhattan', 'n_neighbors': 38, 'weights': 'distance'}",0.8601027716775036,0.8622691747346362,0.8569367791756676,0.8236433969440996,0.8507380306329767,0.015757611790450897,24
51.46764922142029,12.89012917696452,26.26640510559082,2.8449337250214293,manhattan,40,uniform,"{'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'uniform'}",0.8619472075097964,0.8594486747956394,0.8570085476219526,0.8463365796593869,0.8561852523966937,0.0059481976722754884,1
51.34997361898422,12.33389194114364,26.325181007385254,1.9265119051192319,manhattan,40,distance,"{'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'distance'}",0.8631672623404958,0.8606615615378542,0.8568865412632682,0.8235859821870717,0.8510753368321725,0.01602767202645767,23
53.24109643697739,11.286221340860472,25.51930582523346,0.14061294241423203,manhattan,42,uniform,"{'metric': 'manhattan', 'n_neighbors': 42, 'weights': 'uniform'}",0.8617964948542394,0.8612787701759045,0.8568004191277263,0.843193121712108,0.8557672014674946,0.007515064683673792,6
52.543349266052246,12.153165632087173,26.415080785751343,3.2147475778931502,manhattan,42,distance,"{'metric': 'manhattan', 'n_neighbors': 42, 'weights': 'distance'}",0.8631457319611305,0.8625275411412618,0.8567286506814414,0.8227462913655382,0.851287053787343,0.016667055081498648,18
52.91981369256973,13.733797949705282,24.911457240581512,1.6785541115071894,manhattan,44,uniform,"{'metric': 'manhattan', 'n_neighbors': 44, 'weights': 'uniform'}",0.8621409809240839,0.8613935996899603,0.8566209980120141,0.8435160797203901,0.8559179145866121,0.007466751575211912,3
55.79028642177582,11.233045233595718,26.44310438632965,2.754233431074387,manhattan,44,distance,"{'metric': 'manhattan', 'n_neighbors': 44, 'weights': 'distance'}",0.8634543340653662,0.8626567243445746,0.856635351701271,0.8231625483539907,0.8514772396163006,0.016558679988095334,15
49.16472339630127,14.038880886614042,25.763585448265076,2.618311234785461,minkowski,38,uniform,"{'metric': 'minkowski', 'n_neighbors': 38, 'weights': 'uniform'}",0.8589329543986565,0.8608696900320805,0.857101846602123,0.8415639779814407,0.854617117253575,0.007653094821812998,11
52.12881714105606,14.206097317996544,25.162185609340668,2.2594119250366687,minkowski,38,distance,"{'metric': 'minkowski', 'n_neighbors': 38, 'weights': 'distance'}",0.8600597109187731,0.8621328146866949,0.8571449076698938,0.8256887976632193,0.8512565577346454,0.014867510646542102,21
54.690035581588745,8.56797415826331,24.861486077308655,1.6345273714973472,minkowski,40,uniform,"{'metric': 'minkowski', 'n_neighbors': 40, 'weights': 'uniform'}",0.861774964474874,0.8592118389228992,0.8569008949525252,0.8438605682625577,0.855437066653214,0.006902462654091628,7
